keyword,Title,Reviews,Review_points,Address,Country,City,State,Website,Phone,Latitude,Longitude,Category,Kecamatan,Kelurahan,Pasar_Amount,Landmark_Amount,Price_Range_Rp 100–125K,Price_Range_Rp 150–175K,"Price_Range_Rp 1–25,000","Price_Range_Rp 1–50,000","Price_Range_Rp 250,000+",Price_Range_Rp 25–50K,Price_Range_Rp 25–75K,Price_Range_Rp 50–100K,Price_Range_Rp 50–75K,Price_Range_Rp 75–100K,Busiest_time_Monday,Busiest_time_Tuesday,Busiest_time_Wednesday,Busiest_time_Thursday,Busiest_time_Friday,Busiest_time_Saturday,Busiest_time_Sunday,Populations_2023,Competitor,Review_rate,Average_review_points,Average_reviews,Max_reviews,Min_reviews,Success_rate,Success_rate_category_minor,Success_rate_category_major
Toko Makanan Malang,Ranch Market Malang,2233.0,4.5,"Jl. Semeru No.80, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia",ID,Malang City,East Java,http://www.ranchmarket.co.id/,+62 341 347100,-7.972556,112.622708,Pasar,Klojen,Klojen,45.0,20.0,False,False,True,False,False,False,False,False,False,False,5PM,11AM,11AM,3PM,3PM,6PM,9AM,5928,3,7181.8,4.53,847.21,21451.0,1.0,2393.93,2393.93,0.0
Warung Makan di Malang,Rumah Makan Pecel Kawi Hj Musilah Asli 1975,5376.0,4.3,"Kawi St Kios No.43B, Bareng, Klojen, Malang City, East Java 65116, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 341 5022005,-7.9757225,112.6200297,Olahan Nasi,Klojen,Bareng,3.0,2.0,False,False,False,False,False,True,False,False,False,False,9AM,9AM,8AM,8AM,8AM,8AM,9AM,15048,3,3309.2,4.49,1186.25,5376.0,10.0,1103.07,1103.07,0.0
Kuliner Malang Terbaik,Madame Wang Secret Garden,3239.0,4.5,"Jl. Telomoyo No.12, Gading Kasri, Kec. Klojen, Kota Malang, Jawa Timur 65115, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 813-3080-6663,-7.9728399,112.6189956,Restoran,Klojen,Klojen,45.0,20.0,False,False,False,False,False,True,False,False,False,False,2PM,5PM,1PM,6PM,2PM,7PM,2PM,5928,22,14601.381477139506,4.53,847.21,21451.0,1.0,663.7,0.0,663.7
Warung Khas Malang,Warung Lama H. Ridwan,2599.0,4.3,"Pasar Besar Malang Lantai Dasar Unit B15 -16, Jalan Pasar Besar, Sukoharjo, Klojen, Sukoharjo, Kec. Klojen, Kota Malang, Jawa Timur 65141, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 341 362673,-7.9864367,112.6330913,Warung,Klojen,Klojen,45.0,20.0,False,False,False,False,False,True,False,False,False,False,11AM,11AM,11AM,11AM,11AM,12PM,11AM,5928,53,12486.890738569753,4.53,847.21,21451.0,1.0,235.6,0.0,235.6
Kuliner Malang Terbaik,Javanine Resto,4845.0,4.6,"Jl. Pahlawan Trip No.5 Blok A, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia",ID,Malang City,East Java,https://instagram.com/javanineresto?igshid=caikevykh928,+62 341 557989,-7.9672115,112.6209049,Restoran,Klojen,Klojen,45.0,20.0,False,False,True,False,False,False,False,False,False,False,7PM,7PM,7PM,7PM,7PM,7PM,1PM,5928,22,14601.381477139506,4.53,847.21,21451.0,1.0,663.7,0.0,663.7
Warung Makan di Malang,Mbok Ndower,3299.0,4.5,"Jl. Simpang Balapan No.7, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 341 365345,-7.9661737,112.6253365,Warung,Klojen,Klojen,45.0,20.0,False,False,False,False,False,True,False,False,False,False,5PM,5PM,5PM,6PM,7PM,8PM,2PM,5928,53,12486.890738569753,4.53,847.21,21451.0,1.0,235.6,0.0,235.6
Toko Makanan Malang,Toko Camilan Gangsar Jaya 1,569.0,4.6,"Jl. S. Supriadi No.23, Bandungrejosari, Kec. Sukun, Kota Malang, Jawa Timur 65117, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 813-2009-3434,-8.000405,112.6183277,Snack,Sukun,Bandungrejosari,0.0,2.0,False,False,True,False,False,False,False,False,False,False,1PM,1PM,4PM,4PM,4PM,11AM,11AM,31098,1,286.8,4.68,181.13,769.0597889800704,1.0,286.8,286.8,0.0
Warung Makan di Malang,Harmoni Cafe and Resto,4787.0,4.4,"Jl. Bromo No.44, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 899-9949-911,-7.9744604,112.6274364,Minuman,Klojen,Klojen,45.0,20.0,False,False,False,False,False,False,True,False,False,False,7PM,6PM,7PM,7PM,7PM,7PM,6PM,5928,48,15239.695369284877,4.53,847.21,21451.0,1.0,317.49,0.0,317.49
Warung Makan di Malang,Warung Lesehan Yogyakarta,8486.0,4.5,"Jl. Kendal Sari Bar. No.8, Tulusrejo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 341 479444,-7.9437614,112.6220271,Warung,Lowokwaru,Lowokwaru,33.0,79.0,False,False,False,False,False,True,False,False,False,False,6PM,6PM,7PM,6PM,7PM,7PM,1PM,19407,28,7638.795369284877,4.55,621.97,8486.0,1.0,272.81,0.0,272.81
Toko Makanan Malang,Goedang Oleh-Oleh Malang,4191.0,4.2,"Jl. Simpang Tenaga Selatan II No.12, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65122, Indonesia",ID,Malang City,East Java,Tidak Ada,Tidak Ada,-7.9486012,112.6459792,Snack,Blimbing,Blimbing,44.0,14.0,False,False,True,False,False,False,False,False,False,False,12PM,12PM,12PM,2PM,12PM,1PM,12PM,8733,17,2992.4,4.52,664.83,6759.0,1.0,176.02,0.0,176.02
Warung Khas Malang,Warung Sate Gebug 1920,1185.0,4.3,"2JGH+2QV, Jl. Jenderal Basuki Rahmat, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 822-2844-4777,-7.9748959,112.6294162,Sate,Klojen,Klojen,45.0,20.0,False,False,False,False,False,True,False,False,False,False,12PM,11AM,11AM,12PM,7PM,12PM,11AM,5928,4,1343.55,4.53,847.21,21451.0,1.0,335.89,335.89,0.0
Kuliner Malang Terbaik,Soto Ayam Lombok Sejak 1955,7925.0,4.4,"Jl. Lombok No.1, Kasin, Kec. Klojen, Kota Malang, Jawa Timur 65117, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 812-1772-3441,-7.9865723,112.626213,Soto,Klojen,Kasin,3.0,1.0,False,False,False,False,False,True,False,False,False,False,12PM,12PM,12PM,12PM,7PM,7PM,7PM,12918,2,5564.0,4.54,1444.47,7925.0,15.0,2782.0,2782.0,0.0
Kuliner Malang Terbaik,Rumah Makan Kertanegara,3488.0,4.4,"Jl. Kertanegara No.1, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia",ID,Malang City,East Java,http://www.kertanegararesto.com/,+62 341 366203,-7.977017,112.6357955,Warung,Klojen,Klojen,45.0,20.0,False,False,True,False,False,False,False,False,False,False,7PM,7PM,12PM,7PM,7PM,7PM,7PM,5928,53,12486.890738569753,4.53,847.21,21451.0,1.0,235.6,0.0,235.6
Toko Makanan Malang,Shop Dewa - Dewi,1873.0,4.4,"Jl. Kyai Tamin No.18, Sukoharjo, Kec. Klojen, Kota Malang, Jawa Timur 65117, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 341 3012345,-7.9877483,112.630927,Toko,Klojen,Klojen,45.0,20.0,False,False,True,False,False,False,False,False,False,False,10AM,11AM,11AM,11AM,10AM,11AM,11AM,5928,13,2118.3907385697535,4.53,847.21,21451.0,1.0,162.95,0.0,162.95
Warung Khas Malang,Tahu Lontong Lonceng,1024.0,4.5,"Jl. R.E. Martadinata, Kotalama, Kec. Kedungkandang, Kota Malang, Jawa Timur 65118, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 341 4444117,-7.9896076,112.6346613,Olahan Nasi,Kedungkandang,Kedungkandang,10.0,10.0,False,False,True,False,False,False,False,False,False,False,1PM,6PM,6PM,6PM,7PM,7PM,7PM,11781,5,1044.0,4.58,367.15,2077.0,1.0,208.8,208.8,0.0
Toko Makanan Malang,Toko Madjoe,221.0,4.6,"Jl. Pasar Besar No.30B, Sukoharjo, Kec. Klojen, Kota Malang, Jawa Timur 65118, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 341 351034,-7.9855885,112.63196,Toko,Klojen,Klojen,45.0,20.0,False,False,False,False,False,True,False,False,False,False,2PM,10AM,12PM,1PM,11AM,11AM,10AM,5928,13,2118.3907385697535,4.53,847.21,21451.0,1.0,162.95,0.0,162.95
Kuliner Tradisional Malang,Kuliner Khas Trenggalek Tempo Doeloe,2.0,5.0,"2J8J+H2H, Jl. Merdeka Selatan, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia",ID,Malang City,East Java,Tidak Ada,Tidak Ada,-7.9835568,112.6301162,Restoran,Klojen,Kauman,10.0,6.0,False,False,True,False,False,False,False,False,False,False,7PM,7PM,7PM,7PM,7PM,7PM,7PM,9063,10,5904.2,4.43,1342.15,7391.0,2.0,590.42,0.0,590.42
Warung Makan di Malang,Ayam Goreng Tenes,3482.0,4.5,"Jl. Tenes No.12, RW.3, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65116, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 341 362553,-7.97467,112.6236483,Ayam,Klojen,Kauman,10.0,6.0,False,False,False,False,False,True,False,False,False,False,6PM,1PM,1PM,1PM,7PM,7PM,6PM,9063,2,3129.45,4.43,1342.15,7391.0,2.0,1564.72,1564.72,0.0
Toko Makanan Malang,Toko Kue Sara,1176.0,4.7,"Jl. Dr. Cipto No.12, Rampal Celaket, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 812-1790-8000,-7.9686936,112.6349944,Snack,Klojen,Klojen,45.0,20.0,False,False,False,False,False,True,False,False,False,False,11AM,10AM,12PM,2PM,11AM,1PM,11AM,5928,30,7237.595369284877,4.53,847.21,21451.0,1.0,241.25,0.0,241.25
Kuliner Tradisional Malang,Mbok Mesem Makanan Khas Kediri,140.0,4.6,"Jl. Bunga Cengkeh No.37, Kelurahan Tulusrejo, Kecamatan Lowokwaru, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 821-3267-3257,-7.9463873,112.6221855,Warung,Lowokwaru,Jatimulyo,7.0,1.0,False,False,True,False,False,False,False,False,False,False,7PM,7PM,7PM,7PM,7PM,7PM,7PM,19014,10,2450.65,4.57,1122.21,7949.0,1.0,245.06,0.0,245.06
Kuliner Malang Terbaik,SATE PAINO,2285.0,4.4,"No.315, Jalan Hamid Rusdi Timur No.IV, Bunulrejo, Blimbing, Bunulrejo, Kec. Blimbing, Kota Malang, Jawa Timur 65123, Indonesia",ID,Malang City,East Java,https://instagram.com/satepaino?igshid=YmMyMTA2M2Y=,+62 341 322934,-7.9728123,112.6464935,Sate,Blimbing,Blimbing,44.0,14.0,False,False,False,False,False,True,False,False,False,False,7PM,7PM,6PM,7PM,7PM,7PM,7PM,8733,1,1144.7,4.52,664.83,6759.0,1.0,1144.7,1144.7,0.0
Kuliner Tradisional Malang,Rawon Brintik,439.0,4.2,"Jl. KH Ahmad Dahlan No.39, Sukoharjo, Kec. Klojen, Kota Malang, Jawa Timur 65118, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 341 324539,-7.9848801,112.6358577,Rawon,Klojen,Klojen,45.0,20.0,False,False,False,False,False,True,False,False,False,False,7PM,7PM,7PM,7PM,7PM,7PM,7PM,5928,4,639.85,4.53,847.21,21451.0,1.0,159.96,159.96,0.0
Toko Makanan Malang,Piata Camilan MOG,262.0,4.9,"Kawi St, Gading Kasri, Klojen, Malang City, East Java, Indonesia",ID,Malang City,East Java,Tidak Ada,Tidak Ada,-7.9767477,112.6222277,Snack,Klojen,Klojen,45.0,20.0,False,False,False,False,False,True,False,False,False,False,6PM,10AM,5PM,10AM,3PM,10AM,2PM,5928,30,7237.595369284877,4.53,847.21,21451.0,1.0,241.25,0.0,241.25
Warung Makan di Malang,"Warung Nasi ""Bu Hj. Siti""",452.0,4.6,"Jl. Simpang Kawi, RT.05/RW.04, Bareng, Kec. Klojen, Kota Malang, Jawa Timur 65116, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 851-0035-7091,-7.9754436,112.6177372,Olahan Nasi,Klojen,Bareng,3.0,2.0,False,False,True,False,False,False,False,False,False,False,10AM,9AM,11AM,10AM,9AM,9AM,9AM,15048,3,3309.2,4.49,1186.25,5376.0,10.0,1103.07,1103.07,0.0
Warung Makan di Malang,Rumah Makan Cairo,2437.0,4.3,"Jl. Kapten Piere Tendean No.1, Kasin, Kec. Klojen, Kota Malang, Jawa Timur 65117, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 341 366433,-7.9867815,112.6285984,Warung,Klojen,Kasin,3.0,1.0,False,False,False,False,False,False,False,False,True,False,5PM,5PM,5PM,7PM,6PM,7PM,6PM,12918,2,1237.85,4.54,1444.47,7925.0,15.0,618.92,618.92,0.0
Toko Makanan Malang,Toko Bahan Kue IntiAroma Malang,694.0,4.4,"Jl. Raya Sawojajar No.12, Sawojajar, Kec. Kedungkandang, Kota Malang, Jawa Timur 65139, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 813-3574-3905,-7.9780339,112.6547179,Snack,Kedungkandang,Kedungkandang,10.0,10.0,False,False,True,False,False,False,False,False,False,False,4PM,4PM,4PM,4PM,7PM,1PM,6PM,11781,3,1346.15,4.58,367.15,2077.0,1.0,448.72,448.72,0.0
Restoran di Malang,Taman Indie,6759.0,4.5,"Jl. Araya Megah No.9, Pandanwangi, Kec. Blimbing, Kota Malang, Jawa Timur, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 341 417777,-7.939687,112.664235,Lainnya,Blimbing,Blimbing,44.0,14.0,False,False,False,False,False,False,False,True,False,False,7PM,1PM,1PM,1PM,1PM,2PM,1PM,8733,11,5562.740738569753,4.52,664.83,6759.0,1.0,505.7,0.0,505.7
Toko Makanan Malang,Pia Cap Mangkok,1374.0,4.6,"Jalan Semeru Nomor 25, Ruko Semeru, Klojen, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia",ID,Malang City,East Java,http://www.piamangkok.com/,+62 341 335900,-7.9765496,112.6284442,Snack,Klojen,Kauman,10.0,6.0,False,False,False,False,False,True,False,False,False,False,1PM,1PM,12PM,1PM,1PM,1PM,1PM,9063,5,6816.5,4.43,1342.15,7391.0,2.0,1363.3,1363.3,0.0
Warung Khas Malang,Sego Goreng Resek,1914.0,4.5,"Jl. Brigjend. Katamso, Kasin, Kec. Klojen, Kota Malang, Jawa Timur, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 895-3673-76484,-7.9840314,112.625562,Olahan Nasi,Klojen,Kasin,3.0,1.0,False,False,True,False,False,False,False,False,False,False,7PM,7PM,7PM,7PM,7PM,7PM,7PM,12918,3,1734.65,4.54,1444.47,7925.0,15.0,578.22,578.22,0.0
Warung Khas Malang,Warung Seruni (Masakan Khas Bali),268.0,4.7,"Jl. Lembah Dieng, Pisang Candi, Kec. Sukun, Kota Malang, Jawa Timur 65151, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 878-5121-7227,-7.9691983,112.6029967,Warung,Sukun,Sukun,9.0,17.0,False,False,False,False,False,False,False,False,True,False,7PM,11AM,10AM,2PM,1PM,7PM,7PM,19320,8,1672.6953692848767,4.57,648.53,4413.0,4.0,209.09,0.0,209.09
Warung Khas Malang,Warung Malam Pak Gatot,2183.0,4.5,"Jl. S. Supriadi, Sukun, Kec. Sukun, Kota Malang, Jawa Timur 65147, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 812-4963-4788,-7.9875673,112.6225721,Warung,Sukun,Sukun,9.0,17.0,False,False,True,False,False,False,False,False,False,False,9PM,8PM,10PM,9PM,10PM,10PM,9PM,19320,8,1672.6953692848767,4.57,648.53,4413.0,4.0,209.09,0.0,209.09
Warung Khas Malang,Warung Masakan Khas Jawa,24.0,4.5,"Jl. Tumenggung Suryo No.26B, Bunulrejo, Kec. Blimbing, Kota Malang, Jawa Timur 65123, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 838-4826-3003,-7.9653621,112.6395401,Warung,Blimbing,Blimbing,44.0,14.0,False,False,True,False,False,False,False,False,False,False,7PM,7PM,7PM,7PM,7PM,7PM,7PM,8733,16,3546.3,4.52,664.83,6759.0,1.0,221.64,0.0,221.64
Kuliner Malang Terbaik,Bakso President,21451.0,4.1,"Jl. Batanghari No.5, Rampal Celaket, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia",ID,Malang City,East Java,https://sites.google.com/view/baksopresidentmalang/halaman-muka,Tidak Ada,-7.9622999,112.6368084,Bakso,Klojen,Klojen,45.0,20.0,False,False,False,False,False,True,False,False,False,False,1PM,6PM,6PM,6PM,1PM,1PM,1PM,5928,10,19706.0,4.53,847.21,21451.0,1.0,1970.6,0.0,1970.6
Kuliner Malang Terbaik,Pos Ketan Legenda 1967,2576.0,4.6,"3J5C+6J4, Jl. Soekarno Hatta, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia",ID,Malang City,East Java,Tidak Ada,Tidak Ada,-7.9419933,112.6215775,Snack,Lowokwaru,Jatimulyo,7.0,1.0,False,False,True,False,False,False,False,False,False,False,8PM,8PM,8PM,8PM,8PM,9PM,8PM,19014,2,1296.8,4.57,1122.21,7949.0,1.0,648.4,648.4,0.0
Kuliner Malang Terbaik,Bakso Bakar Pahlawan Trip (BABATRIP),6998.0,4.2,"Jl. Pahlawan Trip No.3A, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65145, Indonesia",ID,Malang City,East Java,http://www.baksobakar-pahlawantrip.com/,+62 341 5075354,-7.9683174,112.6221902,Bakso,Klojen,Klojen,45.0,20.0,False,False,False,False,False,True,False,False,False,False,7PM,7PM,7PM,7PM,7PM,8PM,1PM,5928,10,19706.0,4.53,847.21,21451.0,1.0,1970.6,0.0,1970.6
Warung Makan di Malang,Warung Bu Kris,3482.0,4.4,"Jl. Ciliwung No.31, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65122, Indonesia",ID,Malang City,East Java,https://www.instagram.com/warungbukris/,+62 341 405889,-7.9529367,112.6422877,Warung,Blimbing,Blimbing,44.0,14.0,False,False,False,False,False,True,False,False,False,False,1PM,1PM,1PM,1PM,12PM,7PM,1PM,8733,16,3546.3,4.52,664.83,6759.0,1.0,221.64,0.0,221.64
Warung Makan di Malang,Warung Mak Par,1640.0,4.6,"3H5W+2RX, Jl. Joyo Tamansari, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia",ID,Malang City,East Java,Tidak Ada,Tidak Ada,-7.9423788,112.5971231,Warung,Lowokwaru,Lowokwaru,33.0,79.0,False,False,True,False,False,False,False,False,False,False,12PM,12PM,12PM,1PM,12PM,1PM,12PM,19407,28,7638.795369284877,4.55,621.97,8486.0,1.0,272.81,0.0,272.81
Warung Makan di Malang,Warung TEMA,401.0,4.7,"Jl. Soekarno Hatta No.23, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 811-100-054,-7.9446846,112.6190566,Warung,Lowokwaru,Jatimulyo,7.0,1.0,False,False,True,False,False,False,False,False,False,False,12PM,12PM,12PM,12PM,1PM,12PM,1PM,19014,10,2450.65,4.57,1122.21,7949.0,1.0,245.06,0.0,245.06
Toko Makanan Malang,Lapak Makanan Malang,2.0,4.5,"JL. Danau Maninjau Dalam 2, No. B 1, 65139, Sawojajar, Kec. Kedungkandang, Kota Malang, Jawa Timur 65139, Indonesia",ID,Malang City,East Java,http://tokopedia.com/lapakmakananmalang,+62 812-3556-7371,-7.9749968,112.6567421,Warung,Kedungkandang,Kedungkandang,10.0,10.0,False,False,True,False,False,False,False,False,False,False,7PM,7PM,7PM,7PM,7PM,7PM,7PM,11781,14,2028.236107854631,4.58,367.15,2077.0,1.0,144.87,0.0,144.87
Kuliner Tradisional Malang,Pawon Mbak Sih - Masakan Tradisional & Agen Pentol Malang,16.0,5.0,"Jl. Aries Munandar IVA, Kiduldalem, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 851-0049-9669,-7.9810915,112.6344519,Masakan Lain,Klojen,Kiduldalem,4.0,8.0,False,False,True,False,False,False,False,False,False,False,1PM,7PM,8AM,10AM,2PM,7AM,11AM,6240,2,279.25,4.4,1087.93,7541.0,2.0,139.62,139.62,0.0
Warung Khas Malang,Warung Pink Malang - Khas Bali Lombok,20.0,4.7,"Jl. Joyo Tambaksari No.105, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia",ID,Malang City,East Java,Tidak Ada,Tidak Ada,-7.9440109,112.6050994,Warung,Lowokwaru,Lowokwaru,33.0,79.0,False,False,True,False,False,False,False,False,False,False,6PM,8PM,9PM,9PM,8PM,8PM,8AM,19407,28,7638.795369284877,4.55,621.97,8486.0,1.0,272.81,0.0,272.81
